Какую группу по электробезопасности должен иметь допускающий к работе в электроустановках?;В электроустановках до 1000 В - третью, а в электроустановках свыше 1000 В - четвертую@True;В электроустановках до 1000 В - четвертую, а в электроустановках свыше 1000 В - пятую@False;Во всех электроустановках - третью@False;Во всех электроустановках - четвертую@False;Во всех электроустановках - четвертую либо пятую@False
Какую группу по электробезопасности должны иметь работники из числа оперативного персонала, единолично обслуживающие электроустановки?;Не ниже II группы@False;Не ниже III группы@True;II или III группу@False;IV группу@False
Какую начальную группу по электробезопасности должен иметь работник при его переводе с обслуживания электроустановок напряжением до 1000 В на обслуживание электроустановок напряжением выше 1000 В?;Не выше второй@False;Не выше третьей@True;Не выше четвертой@False;Любую группу@False
Когда проводится внеочередная проверка знаний персонала?;При введении в действие у Потребителя новых или переработанных норм и правил@False;По требованию органов государственного надзора и контроля@False;При проверке знаний после получения неудовлетворительной оценки@False;При перерыве в работе в данной должности более 6 месяцев@False;В любом из перечисленных случаев@True
Когда проводится проверка и осмотр устройств молниезащиты?;Один раз в год по графику@False;Один раз в год перед началом грозового сезона@True;Один раз в три месяца@False;Один раз в три года@False
Когда проводятся внеочередные замеры сопротивления устройств молниезащиты?;После выполнения ремонтных работ как на устройствах молниезащиты, так и на самих защищаемых объектах и вблизи них@True;После стихийных бедствий (ураганный ветер, наводнение, землетрясение, пожар) и гроз чрезвычайной интенсивности@False;Перед началом грозового сезона@False;Во всех перечисленных случаях@False
Когда следует выполнять защиту при косвенном прикосновении?;Во всех случаях, если напряжение в электроустановке превышает 50 В переменного и 120 В постоянного тока@True;Во всех случаях, если напряжение в электроустановке превышает 24 В переменного и 90 В постоянного тока@False;Во всех случаях, если напряжение в электроустановке превышает 12 В переменного и 60 В постоянного тока@False;Во всех случаях, если напряжение в электроустановке превышает 127 В переменного и 400 В постоянного тока@False
Когда, как правило,  назначается ответственный руководитель работ?;В электроустановках напряжением до 1000 В@False;В электроустановках напряжением свыше 1000 В@True;Во всех электроустановках@False;В электроустановках напряжением выше 10 кВ@False
Кто в организации ведет наблюдение за работой счетчиков электрической энергии?;Оперативный персонал@True;Административно-технический персонал@False;Электротехнический персонал@False;Электротехнологический персонал@False
Кто должен обеспечивать надежность и безопасность эксплуатации электроустановок?;Энергоснабжающая организация@False;Потребители@True;Органы Ростехнадзора@False;Обслуживающая организация@False
Кто должен осуществлять замену и плановую поверку электрических счетчиков?;Энергоснабжающая организация@False;Собственник приборов учета по согласованию с энергоснабжающей организацией@True;Органы энергонадзора@False;Органы стандартизации и метрологии, которые находятся по месту регистрации собственника приборов учета электрической энергии@False
Кто имеет право единолично обслуживать электроустановки напряжением до 1000 В?;Работники из числа оперативного или оперативно-ремонтного персонала организации, имеющие группу по электробезопасности не ниже III@True;Работники из числа ремонтного персонала организации, имеющие группу по электробезопасности не ниже III@False;Работники из числа оперативного или оперативно-ремонтного персонала организации, имеющие группу по электробезопасности не ниже II@False;Работники из числа оперативного или оперативно-ремонтного персонала организации, имеющие группу по электробезопасности II или III@False
Кто имеет право проводить обслуживание аккумуляторных батарей и зарядных устройств?;Специально обученный персонал, имеющий II группу по электробезопасности@False;Любой работник из числа электротехнического персонала, имеющий III группу по электробезопасности@False;Специально обученный персонал, имеющий III группу по электробезопасности@True;Специально обученный персонал, имеющий IV группу по электробезопасности@False
Кто имеет право проводить проверку знаний неэлектротехнического персонала с присвоением I группы допуска?;Работник из числа электротехнического персонала данного Потребителя с группой по электробезопасности не ниже III@True;Работник из числа электротехнологического персонала данного Потребителя с группой по электробезопасности не ниже III@False;Комиссия в составе не менее 3 человек, имеющих группу по электробезопасности не ниже III@False;Комиссия в составе не менее 3 человек, имеющих группу по электробезопасности не ниже III, с обязательным присутствием инспектора Ростехнадзора@False
Кто может являться ответственным за безопасное ведение работ? Дайте наиболее полный ответ.;Ответственный руководитель работ, допускающий, производитель работ, наблюдающий, члены бригады@False;Выдающий наряд, отдающий распоряжение, утверждающий перечень работ, выполняемых в порядке текущей эксплуатации, ответственный руководитель работ, допускающий, производитель работ, наблюдающий@False;Ответственный руководитель работ, допускающий, производитель работ, наблюдающий@False;Выдающий наряд, отдающий распоряжение, утверждающий перечень работ, выполняемых в порядке текущей эксплуатации, ответственный руководитель работ, допускающий, производитель работ, наблюдающий, члены бригады@True
Кто осуществляет государственный надзор за соблюдением требований правил и норм электробезопасности в электроустановках?;МЧС России@False;Ростехнадзор@True;Главгосэнергонадзор@False;Роспотребнадзор@False
Кто относится к оперативному персоналу?;Персонал, осуществляющий оперативное управление и обслуживание электроустановок (осмотр, оперативные переключения, подготовку рабочего места, допуск и надзор за работающими, выполнение работ в порядке текущей эксплуатации)@True;Ремонтный персонал, специально обученный и подготовленный для оперативного обслуживания в утвержденном объеме закрепленных за ним электроустановок@False;Персонал, обеспечивающий техническое обслуживание и ремонт, монтаж, наладку и испытание электрооборудования@False;Персонал, на которого возложены обязанности по организации технического и оперативного обслуживания, проведения ремонтных, монтажных и наладочных работ в электроустановках@False
Кто относится к оперативно-ремонтному персоналу?;Персонал, осуществляющий оперативное управление и обслуживание электроустановок (осмотр, оперативные переключения, подготовку рабочего места, допуск и надзор за работающими, выполнение работ в порядке текущей эксплуатации)@False;Ремонтный персонал, специально обученный и подготовленный для оперативного обслуживания в утвержденном объеме закрепленных за ним электроустановок@True;Персонал, обеспечивающий техническое обслуживание и ремонт, монтаж, наладку и испытание электрооборудования@False;Персонал, на которого возложены обязанности по организации технического и оперативного обслуживания, проведения ремонтных, монтажных и наладочных работ в электроустановках@False
Кто относится к ремонтному персоналу?;Персонал, осуществляющий оперативное управление и обслуживание электроустановок (осмотр, оперативные переключения, подготовку рабочего места, допуск и надзор за работающими, выполнение работ в порядке текущей эксплуатации)@False;Ремонтный персонал, специально обученный и подготовленный для оперативного обслуживания в утвержденном объеме закрепленных за ним электроустановок@False;Персонал, обеспечивающий техническое обслуживание и ремонт, монтаж, наладку и испытание электрооборудования@True;Персонал, на которого возложены обязанности по организации технического и оперативного обслуживания, проведения ремонтных, монтажных и наладочных работ в электроустановках@False
Кто относится к электротехнологическому персоналу?;Персонал, который проводит обслуживание электротехнологических установок, и использует в работе электрические машины, переносной электроинструмент и светильники@True;Персонал, который проводит ремонт и обслуживание электроустановок@False;Персонал, который проводит монтаж, наладку и испытание электротехнологического оборудования@False;Персонал, который не попадает под определение электротехнического@False
Можно ли использовать средства защиты с истекшим сроком годности?;Можно@False;Не допускается@True;Можно, при отсутствии внешних повреждений@False;Можно, с разрешения непосредственного руководителя@False
На какие группы подразделяется электротехнический персонал организации?;На оперативный, административный и ремонтный@False;На административно-технический и оперативно-ремонтный@False;На оперативный, административно-технический, оперативно-ремонтный и ремонтный@True;На оперативный, оперативно-ремонтный и ремонтный@False
На какие электроустановки распространяются требования Правил устройства электроустановок?;Только на электроустановки переменного тока напряжением до 380 кВ@False;На вновь сооружаемые и реконструируемые электроустановки постоянного и переменного тока напряжением до 750 кВ, в том числе на специальные электроустановки@True;На сооружаемые электроустановки постоянного и переменного тока напряжением до 750 кВ@False;На все электроустановки@False
На какой  высоте от уровня пола должны устанавливаться выключатели для светильников общего освещения в административных зданиях?;На высоте от 0,5 до 0,8 м от пола@False;На высоте от 0,8 до 1,0 м от пола@False;На высоте от 1,0 до 1,5 м от пола@False;На высоте от 0,8 до 1,7 м от пола@True
На какой высоте в производственных помещениях должны устанавливаться штепсельные розетки?;0,8-1,0 м от уровня пола@True;0,5-0,8 м от уровня пола@False;На высоте, удобной для присоединения к ним электрических приборов@False;Не ниже 1,8 м@False
На какой высоте на пешеходной дорожкой от уровня земли должны устанавливаться светильники?;На высоте не менее 5, 0 м@False;На высоте не менее 2, 5 м@False;На высоте не менее 3,5 м@False;На высоте не менее 3, 0 м@True
На какой высоте над контактной сетью троллейбуса от уровня проезжей части рекомендуется устанавливать светильники?;На высоте не менее 8, 0 м@False;На высоте не менее 9,0 м@True;На высоте не менее 7,0 м@False;На высоте не менее 8,5 м@False
На какой высоте над пешеходной дорожкой от уровня земли должны устанавливаться светильники?;На высоте не менее 5, 0 м@False;На высоте не менее 2, 5 м@False;На высоте не менее 3,5 м@False;На высоте не менее 3, 0 м@True
На какой высоте над проезжей частью улиц рекомендуется устанавливать светильники?;На высоте не менее 5, 0 м@False;На высоте не менее 5, 5 м@False;На высоте не менее 6,5 м@True;На высоте не менее 6, 0 м@False
На какой максимальной высоте рекомендуется устанавливать штепсельные розетки в административных зданиях?;На высоте не более 1,0 м@True;На высоте не более 1,2 м@False;На высоте не более 1,5 м@False;На высоте не более 1,8 м@False
На какой срок выдается наряд на производство работ в электроустановках?;Не более 5 календарных дней со дня начала работы@False;Не более 10 календарных дней со дня начала работы@False;Не более 15 календарных дней со дня начала работы@True;Не более 20 календарных дней со дня начала работы@False;На все время проведения работ@False
На какой срок выдается распоряжение на производство работ в электроустановках?;Не более 5 календарных дней со дня начала работы@False;Не более 10 календарных дней со дня начала работы@False;Распоряжение носит разовый характер, срок его действия определяется продолжительностью рабочего дня исполнителей@True;Не более 20 календарных дней со дня начала работы@False;На все время проведения работ@False
На какой срок может быть продлено для работника дублирование, если за отведенное время он не приобрел достаточных производственных навыков?;От 1 до 5 смен@False;От 2 до 4 смен@False;От 2 до 12 смен@True;От 2 до 14 смен@False;От 5 до 15 смен@False
На кого распространяется действие Правил технической эксплуатации электроустановок потребителей?;На организации, независимо от форм собственности и организационно-правовых форм, индивидуальных предпринимателей, эксплуатирующим действующие электроустановки напряжением до 220 кВ включительно, и граждан - владельцев электроустановок напряжением выше 1000 В@True;На организации, независимо от форм собственности и организационно-правовых форм, эксплуатирующим действующие электроустановки напряжением до 220 кВ включительно@False;На организации, независимо от форм собственности и организационно-правовых форм, индивидуальных предпринимателей, эксплуатирующим действующие электроустановки напряжением до 220 кВ включительно, а также на электроустановки электрических станций, блок-станций@False;На организации, независимо от форм собственности и организационно-правовых форм, индивидуальных предпринимателей, эксплуатирующим действующие электроустановки напряжением до 380 кВ включительно, и граждан - владельцев электроустановок напряжением выше 380 В@False
На кого распространяются Межотраслевые правила по охране труда (правила безопасности) при эксплуатации электроустановок?;На работников промышленных предприятий, в составе которых имеются электроустановки@False;На работников организаций независимо от форм собственности и организационно-правовых форм и других физических лиц, занятых техническим обслуживанием электроустановок, проводящих в них оперативные переключения, организующих и выполняющих строительные, монтажные, наладочные, ремонтные работы, испытания и измерения@True;На работников организаций, занятых техническим обслуживанием электроустановок@False;На работников всех организаций независимо от формы собственности, занятых техническим обслуживанием и выполняющих в них строительные, монтажные и ремонтные работы@False
Нуждается ли в медицинской помощи человек, находившийся под воздействием электрического тока и чувствующий себя после этого нормально?;Да, если ему меньше 16 лет@False;Нуждается в любом случае@True;Не нуждается@False;Это может определить только медработник@False
По какому документу проводятся испытания элекрооборудования, проводимые с использованием передвижной испытательной установки?;По распоряжению@False;По наряду@True;По приказу@False;По плану проведения работ@False
При каком максимальном напряжении для управления светильниками допускается использовать штепсельные розетки?;При напряжении до 36 В@False;При напряжении до 50 В@True;При напряжении до 75 В@False;При напряжении до 90 В@False
С какой нейтралью должны работать электрические сети напряжением 10 кВ?;С глухозаземленной нейтралью@False;С эффективно заземленной нейтралью@False;С изолированной нейтралью@True;С любой из перечисленных видов нейтрали@False
Сколько источников питания необходимо для организации электроснабжения электроприемников второй категории?;Два независимых взаимно резервирующих источника питания@True;Достаточно одного источника питания, при условии, что перерыв в электроснабжении в случае аварии или ремонта будет не больше 12 часов@False;Три независимых взаимно резервирующих источника питания@False;Достаточно одного источника питания, при условии, что перерыв в электроснабжении в случае аварии или ремонта будет не больше 24 часов@False
Сколько работников и с какой группой по электробезопасности должны выполнять проверку отсутствия напряжения на ВЛ напряжением до 1000 В?;Один из числа оперативного персонала, имеющий III группу@False;Два работника, имеющие III группу@True;Два работника, один из которых имеет III группу, а второй - IV@False;Один из числа оперативного персонала, имеющий IV группу@False
Сколько человек должно быть в составе бригады, выполняющих работы по перетяжке и замене проводов на воздушных линиях напряжением до 1000 В?;Минимум два человека, причем производитель работ должен иметь III группу по электробезопасности@False;Минимум три человека, причем производитель работ должен иметь III группу по электробезопасности@False;Минимум два человека, причем производитель работ должен иметь IV группу по электробезопасности@True;Минимум два человека, причем производитель работ должен иметь V группу по электробезопасности@False
Смертельно опасной величиной электрического переменного тока, протекающего через тело человека, следует считать:;20 мА@False;40 мА@False;60 мА@False;100 мА@True
Требованиям каких нормативно-технических документов должно соответствовать устройство электроустановок?;ПУЭ, ПТЭЭП, МПБЭЭ, ГОСТ, СНиП и других нормативно-технических документов@True;ПУЭ и ГОСТ@False;ПУЭ, ПТЭЭП, МПБЭЭ, ГОСТ и РД@False;ПУЭ, ПТЭЭП, ГОСТ и СНиП@False
У кого должны находиться оперативные схемы электроустановок отдельного участка?;На рабочем месте ответственного за электрохозяйство@False;На рабочем месте оперативного персонала@True;На рабочем месте технического руководителя организации@False;У всех перечисленных должно быть по комплекту схем@False
Что должен сделать работник, заметивший неисправности электроустановки или средств защиты?;Принять меры по устранению неполадок@False;Немедленно сообщить об этом своему непосредственному руководителю, в его отсутствие - вышестоящему руководителю@True;Вызвать ремонтную службу@False;Самостоятельно устранить неисправности@False
Что может быть использовано в качестве естественных заземлителей?;Металлические трубы водопровода, проложенные в земле@True;Трубопроводы канализации@False;Трубопроводы центрального отопления@False;Любые из перечисленных трубопроводов@False
Что называется защитным заземлением?;Преднамеренное электрическое соединение какой-либо точки сети, электроустановки или оборудования с заземляющим устройством@False;Заземление, выполняемое в целях электробезопасности@True;Заземление точки или точек токоведущих частей электроустановки, выполняемое для обеспечения работы электроустановки (не в целях электробезопасности)@False
Что называется рабочим заземлением?;Преднамеренное электрическое соединение какой-либо точки сети, электроустановки или оборудования с заземляющим устройством@False;Заземление, выполняемое в целях электробезопасности@False;Заземление точки или точек токоведущих частей электроустановки, выполняемое для обеспечения работы электроустановки (не в целях электробезопасности)@True
Что необходимо сделать в первую очередь при поражении человека электрическим током?;Позвонить в скорую помощь@False;Произвести отключение электрического тока@True;Оттащить пострадавшего за одежду не менее чем на 8 метров от места касания проводом земли или от оборудования, находящегося под напряжением@False;Приступить к реанимации пострадавшего@False
Что понимается под напряжением прикосновения?;Напряжение между двумя проводящими частями или между проводящей частью и землей при одновременном прикосновении к ним человека или животного@True;Напряжение между двумя точками земли, обусловленное растеканием тока замыкания на землю, при одновременном касании их ногами человека@False;Напряжение, возникающее при протекании тока по проводнику между двумя точками@False;Напряжение между двумя точками на поверхности земли на расстоянии 1 м одна от другой, которое принимается равным длине шага человека@False;Напряжение между двумя точками электрической цепи с разным потенциалом@False
Что понимается под напряжением шага?;Напряжение между двумя проводящими частями или между проводящей частью и землей при одновременном прикосновении к ним человека или животного@False;Напряжение между двумя точками земли, обусловленное растеканием тока замыкания на землю, при одновременном касании их ногами человека@False;Напряжение, возникающее при протекании тока по проводнику между двумя точками@False;Напряжение между двумя точками на поверхности земли на расстоянии 1 м одна от другой, которое принимается равным длине шага человека@True;Напряжение между двумя точками электрической цепи с разным потенциалом@False
